x;y
115;-112
115;-110
115;-106
115;-99
115;-95
115;-92
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-90
115;-88
115;-86
115;-82
115;-80
115;-78
115;-75
114;-70
112;-68
107;-63
107;-63
102;-62
99;-62
95;-62
87;-62
83;-61
78;-60
74;-58
72;-56
67;-53
64;-51
62;-48
58;-41
56;-38
54;-35
53;-32
49;-28
44;-26
40;-24
35;-22
26;-20
21;-20
17;-20
10;-20
6;-20
3;-17
0;-14
-1;-10
-1;-3
-1;0
-1;1
-1;1
-5;1
-8;1
-11;1
-14;1
-20;1
-22;1
-25;1
-27;1
-32;7
-34;12
-35;16
-35;20
-35;26
-35;29
-35;32
-36;34
-40;39
-42;41
-43;41
-45;41
-47;41
-50;41
-52;41
-55;49
-56;53
-56;57
-56;61
-56;64
-56;71
-56;74
-58;77
-62;84
-65;85
-67;85
-69;85
-72;85
-78;85
-80;86
-83;88
-87;91
-87;93
-87;95
-87;96
-87;96
-87;96
-89;96
-91;96
-95;96
-97;96
-99;96
-102;96
-105;96
-111;99
-114;103
-117;106
-117;109
-117;113
-117;116
